[root@localhost linux]# cat /var/log/yum.log
Jul 30 16:48:44 Installed: 1:perl-parent-0.225-244.el7.noarch
Jul 30 16:48:44 Installed: perl-HTTP-Tiny-0.033-3.el7.noarch
Jul 30 16:48:44 Installed: perl-podlators-2.5.1-3.el7.noarch
Jul 30 16:48:44 Installed: perl-Pod-Perldoc-3.20-4.el7.noarch
Jul 30 16:48:44 Installed: 1:perl-Pod-Escapes-1.04-292.el7.noarch
Jul 30 16:48:44 Installed: perl-Text-ParseWords-3.29-4.el7.noarch
Jul 30 16:48:44 Installed: perl-Encode-2.51-7.el7.x86_64
Jul 30 16:48:44 Installed: perl-Pod-Usage-1.63-3.el7.noarch
Jul 30 16:48:44 Installed: 4:perl-macros-5.16.3-292.el7.x86_64
Jul 30 16:48:45 Installed: 4:perl-libs-5.16.3-292.el7.x86_64
Jul 30 16:48:45 Installed: perl-Storable-2.45-3.el7.x86_64
Jul 30 16:48:45 Installed: perl-Exporter-5.68-3.el7.noarch
Jul 30 16:48:45 Installed: perl-constant-1.27-2.el7.noarch
Jul 30 16:48:45 Installed: perl-Time-Local-1.2300-2.el7.noarch
Jul 30 16:48:45 Installed: perl-Socket-2.010-4.el7.x86_64
Jul 30 16:48:45 Installed: perl-Carp-1.26-244.el7.noarch
Jul 30 16:48:45 Installed: 4:perl-Time-HiRes-1.9725-3.el7.x86_64
Jul 30 16:48:45 Installed: perl-PathTools-3.40-5.el7.x86_64
Jul 30 16:48:45 Installed: perl-Scalar-List-Utils-1.27-248.el7.x86_64
Jul 30 16:48:45 Installed: perl-File-Temp-0.23.01-3.el7.noarch
Jul 30 16:48:45 Installed: perl-File-Path-2.09-2.el7.noarch
Jul 30 16:48:45 Installed: perl-threads-shared-1.43-6.el7.x86_64
Jul 30 16:48:45 Installed: perl-threads-1.87-4.el7.x86_64
Jul 30 16:48:45 Installed: perl-Filter-1.49-3.el7.x86_64
Jul 30 16:48:45 Installed: 1:perl-Pod-Simple-3.28-4.el7.noarch
Jul 30 16:48:45 Installed: perl-Getopt-Long-2.40-3.el7.noarch
Jul 30 16:48:47 Installed: 4:perl-5.16.3-292.el7.x86_64
Jul 30 16:48:47 Installed: gpm-libs-1.20.7-5.el7.x86_64
Jul 30 16:48:47 Installed: 1:mc-4.8.7-11.el7.x86_64
Jul 30 16:49:12 Installed: net-tools-2.0-0.22.20131004git.el7.x86_64
Jul 30 17:11:41 Installed: wget-1.14-15.el7_4.1.x86_64
Jul 30 17:15:59 Updated: libcom_err-1.42.9-12.el7_5.x86_64
Jul 30 17:16:00 Updated: krb5-libs-1.15.1-19.el7.x86_64
Jul 30 17:16:00 Installed: libkadm5-1.15.1-19.el7.x86_64
Jul 30 17:16:00 Updated: e2fsprogs-libs-1.42.9-12.el7_5.x86_64
Jul 30 17:16:00 Installed: libcom_err-devel-1.42.9-12.el7_5.x86_64
Jul 30 17:16:00 Updated: libss-1.42.9-12.el7_5.x86_64
Jul 30 17:16:00 Installed: keyutils-libs-devel-1.5.8-3.el7.x86_64
Jul 30 17:16:00 Installed: pcre-devel-8.32-17.el7.x86_64
Jul 30 17:16:00 Installed: libsepol-devel-2.5-8.1.el7.x86_64
Jul 30 17:16:00 Installed: libselinux-devel-2.5-12.el7.x86_64
Jul 30 17:16:00 Installed: libverto-devel-0.2.5-4.el7.x86_64
Jul 30 17:16:00 Installed: krb5-devel-1.15.1-19.el7.x86_64
Jul 30 17:16:00 Installed: zlib-devel-1.2.7-17.el7.x86_64
Jul 30 17:16:01 Installed: 1:openssl-devel-1.0.2k-12.el7.x86_64
Jul 30 17:16:01 Updated: e2fsprogs-1.42.9-12.el7_5.x86_64
Jul 30 17:29:28 Installed: mpfr-3.1.1-4.el7.x86_64
Jul 30 17:29:28 Installed: libmpc-1.0.1-3.el7.x86_64
Jul 30 17:29:29 Installed: cpp-4.8.5-28.el7_5.1.x86_64
Jul 30 17:29:29 Updated: libgcc-4.8.5-28.el7_5.1.x86_64
Jul 30 17:29:30 Installed: kernel-headers-3.10.0-862.9.1.el7.x86_64
Jul 30 17:29:30 Installed: glibc-headers-2.17-222.el7.x86_64
Jul 30 17:29:30 Installed: glibc-devel-2.17-222.el7.x86_64
Jul 30 17:29:30 Updated: libgomp-4.8.5-28.el7_5.1.x86_64
Jul 30 17:29:32 Installed: gcc-4.8.5-28.el7_5.1.x86_64
Jul 30 17:32:50 Installed: bc-1.06.95-13.el7.x86_64
Jul 30 19:22:48 Installed: elfutils-libelf-devel-0.170-4.el7.x86_64
